,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2002-07-29/2002-08-04,41,2002-07-29,2002-08-04,1838,48,58,983,27,41,81,3,2
2002-08-05/2002-08-11,42,2002-08-05,2002-08-11,1824,50,64,963,28,48,77,1,5
2002-08-12/2002-08-18,43,2002-08-12,2002-08-18,1836,52,40,958,26,31,80,4,1
2002-08-19/2002-08-25,44,2002-08-19,2002-08-25,1842,73,67,955,42,45,80,3,3
2002-08-26/2002-09-01,45,2002-08-26,2002-09-01,1876,79,45,962,39,32,87,7,0
2002-09-02/2002-09-08,46,2002-09-02,2002-09-08,1922,117,71,973,57,46,86,4,5
2002-09-09/2002-09-15,47,2002-09-09,2002-09-15,1929,108,101,969,55,59,87,6,5
2002-09-16/2002-09-22,48,2002-09-16,2002-09-22,1901,131,159,924,66,111,83,9,13
2002-09-23/2002-09-29,49,2002-09-23,2002-09-29,1912,79,68,937,49,36,82,3,4
2002-09-30/2002-10-06,50,2002-09-30,2002-10-06,1929,90,73,957,59,39,75,1,8
2002-10-07/2002-10-13,51,2002-10-07,2002-10-13,1962,112,79,983,74,48,77,6,4
2002-10-14/2002-10-20,52,2002-10-14,2002-10-20,1998,157,121,993,91,81,82,12,7
2002-10-21/2002-10-27,53,2002-10-21,2002-10-27,2100,141,39,1053,86,26,90,10,2
2002-10-28/2002-11-03,54,2002-10-28,2002-11-03,2120,83,63,1057,47,43,91,6,5
2002-11-04/2002-11-10,55,2002-11-04,2002-11-10,2181,94,33,1080,41,18,101,14,4
2002-11-11/2002-11-17,56,2002-11-11,2002-11-17,2173,231,239,1084,139,135,99,26,28
2002-11-18/2002-11-24,57,2002-11-18,2002-11-24,2256,184,101,1133,110,61,102,14,11
2002-11-25/2002-12-01,58,2002-11-25,2002-12-01,2317,137,76,1160,77,50,107,14,9
2002-12-02/2002-12-08,59,2002-12-02,2002-12-08,2413,157,61,1217,96,39,114,16,9
2002-12-09/2002-12-15,60,2002-12-09,2002-12-15,2464,166,115,1252,115,80,116,12,10
2002-12-16/2002-12-22,61,2002-12-16,2002-12-22,2454,169,179,1240,96,108,117,20,19
2002-12-23/2002-12-29,62,2002-12-23,2002-12-29,2469,29,14,1246,16,10,121,4,0
2002-12-30/2003-01-05,63,2002-12-30,2003-01-05,2498,38,9,1264,22,4,125,6,2
2003-01-06/2003-01-12,64,2003-01-06,2003-01-12,2506,115,107,1273,74,65,128,12,9
2003-01-13/2003-01-19,65,2003-01-13,2003-01-19,2536,144,114,1292,94,75,128,14,14
2003-01-20/2003-01-26,66,2003-01-20,2003-01-26,2587,134,83,1318,84,58,133,10,5
2003-01-27/2003-02-02,67,2003-01-27,2003-02-02,2618,169,138,1337,98,79,137,23,19
2003-02-03/2003-02-09,68,2003-02-03,2003-02-09,2664,279,233,1382,194,149,126,22,33
2003-02-10/2003-02-16,69,2003-02-10,2003-02-16,2592,209,281,1301,137,218,124,26,28
2003-02-17/2003-02-23,70,2003-02-17,2003-02-23,2563,219,248,1284,137,154,120,23,27
2003-02-24/2003-03-02,71,2003-02-24,2003-03-02,2687,377,253,1365,262,181,121,35,34
2003-03-03/2003-03-09,72,2003-03-03,2003-03-09,2704,204,187,1350,131,146,125,21,17
2003-03-10/2003-03-16,73,2003-03-10,2003-03-16,2800,262,166,1410,181,121,124,17,18
2003-03-17/2003-03-23,74,2003-03-17,2003-03-23,2717,131,214,1352,87,145,113,15,26
2003-03-24/2003-03-30,75,2003-03-24,2003-03-30,2740,100,77,1366,60,46,114,10,9
2003-03-31/2003-04-06,76,2003-03-31,2003-04-06,2733,71,78,1376,38,28,120,7,1
2003-04-07/2003-04-13,77,2003-04-07,2003-04-13,2760,90,63,1387,46,35,120,1,1
2003-04-14/2003-04-20,78,2003-04-14,2003-04-20,2822,87,25,1427,59,19,124,7,3
2003-04-21/2003-04-27,79,2003-04-21,2003-04-27,2835,85,72,1433,45,39,126,4,2
2003-04-28/2003-05-04,80,2003-04-28,2003-05-04,2870,65,30,1455,35,13,128,2,0
2003-05-05/2003-05-11,81,2003-05-05,2003-05-11,2943,115,42,1489,61,27,129,4,3
2003-05-12/2003-05-18,82,2003-05-12,2003-05-18,2974,99,68,1513,60,36,131,5,3
2003-05-19/2003-05-25,83,2003-05-19,2003-05-25,3059,106,21,1551,47,9,132,3,2
2003-05-26/2003-06-01,84,2003-05-26,2003-06-01,3082,69,46,1562,39,28,135,6,3
2003-06-02/2003-06-08,85,2003-06-02,2003-06-08,3045,144,181,1544,98,116,123,8,20
2003-06-09/2003-06-15,86,2003-06-09,2003-06-15,3059,86,72,1552,56,48,133,12,2
2003-06-16/2003-06-22,87,2003-06-16,2003-06-22,3059,78,78,1562,51,41,134,7,6
2003-06-23/2003-06-29,88,2003-06-23,2003-06-29,3102,76,33,1583,41,20,141,12,5
2003-06-30/2003-07-06,89,2003-06-30,2003-07-06,3132,62,32,1603,41,21,144,5,2
2003-07-07/2003-07-13,90,2003-07-07,2003-07-13,3173,114,73,1633,84,54,150,9,3
2003-07-14/2003-07-20,91,2003-07-14,2003-07-20,3181,205,197,1643,150,140,134,12,28
2003-07-21/2003-07-27,92,2003-07-21,2003-07-27,3196,115,100,1641,67,69,136,7,5
2003-07-28/2003-08-03,93,2003-07-28,2003-08-03,3201,66,61,1641,35,35,136,2,2
2003-08-04/2003-08-10,94,2003-08-04,2003-08-10,3211,75,65,1642,40,39,139,5,2
2003-08-11/2003-08-17,95,2003-08-11,2003-08-17,3216,80,75,1635,45,52,138,7,8
2003-08-18/2003-08-24,96,2003-08-18,2003-08-24,3213,83,86,1629,56,62,138,3,3
2003-08-25/2003-08-31,97,2003-08-25,2003-08-31,3206,133,140,1621,81,89,138,9,9
2003-09-01/2003-09-07,98,2003-09-01,2003-09-07,3261,112,57,1657,76,40,135,3,6
2003-09-08/2003-09-14,99,2003-09-08,2003-09-14,3291,96,66,1677,69,49,136,4,3
2003-09-15/2003-09-21,100,2003-09-15,2003-09-21,3314,100,77,1686,61,52,138,11,9
2003-09-22/2003-09-28,101,2003-09-22,2003-09-28,3337,97,74,1699,69,56,139,3,2
2003-09-29/2003-10-05,102,2003-09-29,2003-10-05,3367,112,82,1716,70,53,141,11,9
2003-10-06/2003-10-12,103,2003-10-06,2003-10-12,3383,173,157,1734,122,104,133,8,16
2003-10-13/2003-10-19,104,2003-10-13,2003-10-19,3389,167,161,1720,88,102,137,15,11
2003-10-20/2003-10-26,105,2003-10-20,2003-10-26,3430,120,79,1743,69,46,139,7,5
2003-10-27/2003-11-02,106,2003-10-27,2003-11-02,3461,100,69,1764,70,49,141,3,1
2003-11-03/2003-11-09,107,2003-11-03,2003-11-09,3506,106,61,1786,62,40,150,11,2
2003-11-10/2003-11-16,108,2003-11-10,2003-11-16,3546,104,64,1812,55,29,154,10,6
2003-11-17/2003-11-23,109,2003-11-17,2003-11-23,3530,164,180,1790,112,134,148,12,18
2003-11-24/2003-11-30,110,2003-11-24,2003-11-30,3567,130,93,1813,90,67,150,9,7
2003-12-01/2003-12-07,111,2003-12-01,2003-12-07,3620,130,77,1853,83,43,153,7,4
2003-12-08/2003-12-14,112,2003-12-08,2003-12-14,3614,106,112,1839,66,80,149,7,11
2003-12-15/2003-12-21,113,2003-12-15,2003-12-21,3592,175,197,1813,115,141,143,6,12
2003-12-22/2003-12-28,114,2003-12-22,2003-12-28,3618,39,13,1834,29,8,144,1,0
2003-12-29/2004-01-04,115,2003-12-29,2004-01-04,3643,37,12,1845,20,9,145,1,0
