,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2002-07-15/2002-07-21,39,2002-07-15,2002-07-21,4244,92,40,2547,55,27,296,5,4
2002-07-22/2002-07-28,40,2002-07-22,2002-07-28,4275,120,89,2543,58,62,304,18,10
2002-07-29/2002-08-04,41,2002-07-29,2002-08-04,4293,99,81,2546,58,55,309,10,5
2002-08-05/2002-08-11,42,2002-08-05,2002-08-11,4272,119,140,2511,59,94,312,15,12
2002-08-12/2002-08-18,43,2002-08-12,2002-08-18,4317,103,58,2527,54,38,320,15,7
2002-08-19/2002-08-25,44,2002-08-19,2002-08-25,4401,225,141,2559,127,95,320,18,18
2002-08-26/2002-09-01,45,2002-08-26,2002-09-01,4432,124,93,2561,72,70,327,13,6
2002-09-02/2002-09-08,46,2002-09-02,2002-09-08,4251,101,282,2443,50,168,313,7,21
2002-09-09/2002-09-15,47,2002-09-09,2002-09-15,4122,137,266,2338,65,170,301,14,26
2002-09-16/2002-09-22,48,2002-09-16,2002-09-22,4102,196,216,2345,126,119,281,19,39
2002-09-23/2002-09-29,49,2002-09-23,2002-09-29,4090,153,165,2342,96,99,275,10,16
2002-09-30/2002-10-06,50,2002-09-30,2002-10-06,4113,120,97,2361,85,66,274,5,6
2002-10-07/2002-10-13,51,2002-10-07,2002-10-13,4155,161,119,2384,109,86,274,13,13
2002-10-14/2002-10-20,52,2002-10-14,2002-10-20,4226,187,116,2429,113,68,276,18,16
2002-10-21/2002-10-27,53,2002-10-21,2002-10-27,4207,157,176,2397,101,133,274,13,15
2002-10-28/2002-11-03,54,2002-10-28,2002-11-03,4167,134,174,2361,88,124,264,13,23
2002-11-04/2002-11-10,55,2002-11-04,2002-11-10,4230,152,89,2401,88,48,273,18,9
2002-11-11/2002-11-17,56,2002-11-11,2002-11-17,4333,302,199,2460,191,132,289,39,23
2002-11-18/2002-11-24,57,2002-11-18,2002-11-24,4413,266,186,2480,147,127,291,28,26
2002-11-25/2002-12-01,58,2002-11-25,2002-12-01,4509,237,141,2544,149,85,297,26,20
2002-12-02/2002-12-08,59,2002-12-02,2002-12-08,4527,240,222,2558,155,141,293,19,23
2002-12-09/2002-12-15,60,2002-12-09,2002-12-15,4616,247,158,2616,166,108,301,24,16
2002-12-16/2002-12-22,61,2002-12-16,2002-12-22,4697,259,178,2647,152,121,315,37,23
2002-12-23/2002-12-29,62,2002-12-23,2002-12-29,4734,48,11,2665,23,5,319,6,2
2002-12-30/2003-01-05,63,2002-12-30,2003-01-05,4743,49,40,2672,24,17,314,5,10
2003-01-06/2003-01-12,64,2003-01-06,2003-01-12,4741,168,170,2669,105,108,315,19,18
2003-01-13/2003-01-19,65,2003-01-13,2003-01-19,4775,233,199,2682,137,124,325,34,24
2003-01-20/2003-01-26,66,2003-01-20,2003-01-26,4847,289,217,2715,170,137,324,26,27
2003-01-27/2003-02-02,67,2003-01-27,2003-02-02,4897,307,257,2728,180,167,322,31,33
2003-02-03/2003-02-09,68,2003-02-03,2003-02-09,4930,313,280,2747,204,185,316,41,47
2003-02-10/2003-02-16,69,2003-02-10,2003-02-16,4899,290,321,2710,191,228,315,28,29
2003-02-17/2003-02-23,70,2003-02-17,2003-02-23,4891,326,334,2685,196,221,315,43,43
2003-02-24/2003-03-02,71,2003-02-24,2003-03-02,5157,561,295,2862,395,218,344,54,25
2003-03-03/2003-03-09,72,2003-03-03,2003-03-09,5093,339,403,2806,220,276,334,40,50
2003-03-10/2003-03-16,73,2003-03-10,2003-03-16,5311,502,284,2974,364,196,338,45,41
2003-03-17/2003-03-23,74,2003-03-17,2003-03-23,5319,226,218,2952,136,158,337,26,27
2003-03-24/2003-03-30,75,2003-03-24,2003-03-30,5358,164,125,2973,101,80,346,28,19
2003-03-31/2003-04-06,76,2003-03-31,2003-04-06,5375,146,129,2968,78,83,348,15,13
2003-04-07/2003-04-13,77,2003-04-07,2003-04-13,5412,172,135,2987,105,86,346,13,15
2003-04-14/2003-04-20,78,2003-04-14,2003-04-20,5467,116,61,3018,70,39,355,17,8
2003-04-21/2003-04-27,79,2003-04-21,2003-04-27,5511,123,79,3023,60,55,352,8,11
2003-04-28/2003-05-04,80,2003-04-28,2003-05-04,5579,114,46,3064,72,31,353,6,5
2003-05-05/2003-05-11,81,2003-05-05,2003-05-11,5647,127,59,3093,63,34,362,18,9
2003-05-12/2003-05-18,82,2003-05-12,2003-05-18,5733,180,94,3119,75,49,368,16,10
2003-05-19/2003-05-25,83,2003-05-19,2003-05-25,5819,154,68,3170,90,39,371,14,11
2003-05-26/2003-06-01,84,2003-05-26,2003-06-01,5728,111,202,3099,63,134,365,13,19
2003-06-02/2003-06-08,85,2003-06-02,2003-06-08,5758,151,121,3109,96,86,364,17,18
2003-06-09/2003-06-15,86,2003-06-09,2003-06-15,5800,158,116,3135,96,70,368,16,12
2003-06-16/2003-06-22,87,2003-06-16,2003-06-22,5797,154,157,3134,98,99,371,17,14
2003-06-23/2003-06-29,88,2003-06-23,2003-06-29,5856,125,66,3161,63,36,375,14,10
2003-06-30/2003-07-06,89,2003-06-30,2003-07-06,5893,81,44,3185,47,23,380,13,8
2003-07-07/2003-07-13,90,2003-07-07,2003-07-13,5909,147,131,3187,89,87,380,13,13
2003-07-14/2003-07-20,91,2003-07-14,2003-07-20,6021,258,146,3267,171,91,394,29,15
2003-07-21/2003-07-27,92,2003-07-21,2003-07-27,6058,125,88,3291,80,56,393,10,11
2003-07-28/2003-08-03,93,2003-07-28,2003-08-03,6136,152,74,3343,97,45,398,13,8
2003-08-04/2003-08-10,94,2003-08-04,2003-08-10,6183,156,109,3365,101,79,395,8,11
2003-08-11/2003-08-17,95,2003-08-11,2003-08-17,6254,130,59,3401,71,35,404,18,9
2003-08-18/2003-08-24,96,2003-08-18,2003-08-24,6289,133,98,3413,88,76,413,14,5
2003-08-25/2003-08-31,97,2003-08-25,2003-08-31,6406,228,111,3513,161,61,407,16,22
2003-09-01/2003-09-07,98,2003-09-01,2003-09-07,6405,172,173,3504,105,114,412,17,12
2003-09-08/2003-09-14,99,2003-09-08,2003-09-14,6414,186,177,3499,123,128,412,15,15
2003-09-15/2003-09-21,100,2003-09-15,2003-09-21,6454,144,104,3498,70,71,425,20,7
2003-09-22/2003-09-28,101,2003-09-22,2003-09-28,6490,207,171,3523,127,102,418,16,23
2003-09-29/2003-10-05,102,2003-09-29,2003-10-05,6546,198,142,3551,120,92,422,20,16
2003-10-06/2003-10-12,103,2003-10-06,2003-10-12,6625,248,169,3604,155,102,427,28,23
2003-10-13/2003-10-19,104,2003-10-13,2003-10-19,6691,192,126,3636,110,78,434,19,12
2003-10-20/2003-10-26,105,2003-10-20,2003-10-26,6718,161,134,3644,94,86,436,14,12
2003-10-27/2003-11-02,106,2003-10-27,2003-11-02,6739,159,138,3639,90,95,438,11,9
2003-11-03/2003-11-09,107,2003-11-03,2003-11-09,6790,192,141,3658,122,103,445,17,10
2003-11-10/2003-11-16,108,2003-11-10,2003-11-16,6852,195,133,3687,120,91,452,23,16
2003-11-17/2003-11-23,109,2003-11-17,2003-11-23,6962,294,184,3777,210,120,460,28,20
2003-11-24/2003-11-30,110,2003-11-24,2003-11-30,7013,177,126,3802,109,84,476,23,7
2003-12-01/2003-12-07,111,2003-12-01,2003-12-07,7085,204,132,3845,130,87,484,23,15
2003-12-08/2003-12-14,112,2003-12-08,2003-12-14,7124,182,143,3861,112,96,485,16,15
2003-12-15/2003-12-21,113,2003-12-15,2003-12-21,7155,209,178,3895,147,113,482,22,25
2003-12-22/2003-12-28,114,2003-12-22,2003-12-28,7178,40,17,3910,24,9,482,3,3
2003-12-29/2004-01-04,115,2003-12-29,2004-01-04,7246,75,7,3942,34,2,489,7,0
